comment_text,Sentiment_Score
oh oh wasted,-1.0003
wasted gta,-1.0003
curse lee ka chan,-1.6096
dear wong keep clam,0.797690909
hey whats plan sat,-0.0375
think quit mobile,0.134615385
tm net suck,-0.8808
sedih,0
berasa gembira,0
letih,0
quite sedih,0
susan bad oredi,-1.727457143
bad guy,-1.727457143
goin liao,0
wah queue damn long buy laptops,-0.734355556
need queue long,-0.0625
program quite good,1.598495238
haiz ask go back department ask,0.0125
cos,0
canot cos,0
go lecture together,-0.070833333
taxi,0
uber,0
see,0.041666667
free  go ,0.742033333
free,0.729533333
part time job,0.028846154
tonight coming ,0.029761905
ok juz receive,0.967
ur lecture over,-0.083333333
lucky ka numbr msg,1.634666667
oi,0
abit scare,-1.1128
lucky nvr,1.634666667
happy unsatisfied,1.0625
weak coding,-1.057883333
weak terms bloodthings,-1.057883333
vomit blood,-0.041666667
okay okay,0.843
okie okay okay,0.843
yes successful,2.1408
haha serious loh,0.720466667
okay thanks much,1.7218
agree especially pretty girls,1.630242857
sian loh,0
sienz …,0
haiz,0
tmr im free wednesday ok,1.049333333
thequeue got rejected blood test haha,-0.24517381
hope overlookyour cheque,1.0058
lol  xd gao xiu,1.53
like chaotic,-0.6058
phone plan buy,0.125
thequeue got rejected blood test haha,-0.24517381
im efficient one haha,1.6506
group work nice,0.860857143
bad,-1.727457143
b average grade,0.027777778
wahahaha,0
promised emo leh,0.7224
dun emo,0
emo,0
thing make emo,0.025085034
worries pls,-0.5349
worry …,-0.6933
okay,0.4526
reject sienz liao,-1.3038
reject sad liao,-2.0256
must study harder liao,-0.145833333
must study harder liao,-0.145833333
worried,-1.4045
haha nvm,0.9176
break nicely reach,1.139822222
flexible,0.5776
hey paiseh assignment lia,0
oic,0
ohhhh see,0.041666667
good,1.493895238
best best,2.6928125
ure unlucky,-0.625
everything good,1.493895238
never forsaken,-0.75
haha efficient,1.4006
forsaken,0
thnks,0
wear nice nice,1.9366
ya see know dl,0.041666667
okay go eat first,1.0901
walao cool,0.4489
smart causal,1.0538
really kind,1.5168
would appreciate send scanned copiesasap,0.968085714
efficient,0.843
hey guys,0
another thing forgot put text citation,-0.111111111
think well rehearse bestpresentation demo first,1.447092308
best presentation,1.8988
best assignment,1.6306125
blessed,1.1363
wa angry sing ying,-1.354533333
great honour,2.298616667
blessed birthday girl,1.1613
wrong emoji,-1.550622222
mad,-0.9878
hope miss us,0.594733333
wow gambateh,1.0468
angry,-1.354533333
awesome ,1.2498
menang samasama kalah samasama,0
corrupted,-0.21875
best actress ever,1.8988
prayed lord grant joy wisdom  good memory beginning year,2.714820238
poor,-1.432566667
house poor,-1.432566667
rmb help print resume okay thanks,1.9533
suuppperrr prreeetttyyyyy,0
bad,-1.727457143
woohoo welcome back fay,1.486
organizing christian fellowship convention held saturday,0.236111111
loved whatsapp new colors,1.830902273
beloved boys,1.05245
daebak,0
dun worry pls help,0.3016
see nervousness jens,-0.550333333
hahagood know youths talented,1.165139394
great job well done,2.037558974
feeling much better,1.693166484
cheerful reminder tmr dress code,1.730433333
congratulations mun yee,1.5113
congratulations sis,1.5113
congratulations bro,1.5113
guys thanks wishes,1.2721
wisk good day,1.543895238
today good days,1.606395238
guess treat friend,1.7442
haha great good job,2.558608059
invite friend join us,1.5118
btw great performance,1.616466667
btw great assignment,1.541466667
thankiu everyone,0
reported banned,-0.8551
hapy brthdy dost,0
cant find pc,0.0078125
kristen must enjoying time,1.6034
work harder,0.017857143
finally father lost patience said sternly,-0.602309091
young kept finding ways interrupt,-0.815179924
well done excellent,1.772446154
failed database already,-0.8962
answer wrong question,-1.550622222
lost many mark,-0.880339394
lost many marks,-0.880339394
lost  marks,-0.880339394
lost whole page,-0.713672727
computer lost,-0.863672727
prosper,0
great birthday celebration,1.583133333
haha thx www,1.341
satisfied,1.0305
tgifwg,0
keep,-0.028409091
good ah,1.493895238
yea,0.25
oh,0
kk,0.7224
makes shirt look ugly cause skinny liao,-0.787781633
go ahead,0.048214286
great testimony,1.708133333
think got better vision glasseshaha,1.754752381
learn lot,-0.071428571
jia ah wei,0
thx ww,0.7224
better let,1.2864
tmr morning busy,0
me ntg reunion,0
ntg happens,0
else sienz emo,0
everyone go back hometown reunion shuang,0.0125
cheer ww,0.8337
sienz,0
gamble happy tgt,1.7063
sohai,0
good,1.493895238
boring,-0.6364
final study hard,-0.563733333
else fail coursework,-1.0846
web page failed,-1.305290909
database failed,-1.305290909
code cannot run,0.021341463
gonna fail,-1.368690909
tried yr best know,3.0238
see improve,1.297466667
better separate ba else yrs cant run gg,0.6612
got error,-0.954097619
sienz,0
like tat,0.4724
sienz,0
kinda stres,0
 dangerous already ,-1.5159
nned,0
need safe assign,1.0058
nice,1.418
geng leh,0
jia youu,0
see part  easy wor,1.026633333
something like tat,0.4724
team work tgt,0.017857143
okay help,1.1773
upload,0
slow,-0.041666667
got grammar problem,-1.08505
hard defend barce,-0.3929
n,0
moree convienent,0
best good luck,2.809041071
got problem ill let know,-1.811643939
even paraphase need,-0.0625
citation,0.020833333
pass tmr,0
theyre sexyyyyyy,0
think need submit hardcopy,0.147115385
thats good,1.493895238
paiseh ah,0
sad wey,-1.5784
roger,0
hmm,0
tau tmr free,0.729533333
nice,1.418
cool,0.4489
thanks,0.8808
okok,0
nope,0
ok thanks,1.6248
great,1.541466667
ok noted thanks,1.8748
yeah,0.592
sure,0.6364
noted,0.0625
god bless,1.23005
cv correct,0
really sure,1.165022222
hi,0
hello,0
cause sometime system give feedback fast,0.016666667
wrote wrong,-1.550622222
see,0.041666667
done,-0.028846154
tc,-0.0625
help night,0.819425
cannot fight alone need fight long time,0.121661111
talk nonsense,-0.8538
beh tahan beh song,0
alone cannot solve problem,-0.463466667
got depression,-1.283383333
got depression,-1.283383333
stress,-0.868
suddenly crying,-1.114114286
quite interesting,1.2902
need money already,0.041666667
sb dun get,0
hope fine,1.060466667
tike feel serious already,-0.218502564
early time realize ur concentrate nice,1.051333333
cannot concentrate,-0.015625
keep stuck ur feel mind,-0.260551948
sometime try express ur feel,-0.472222222
feel emo lai play game,0.760213904
may igot depression pik cik theart ppl,-1.2938
nope,0
nth responsibility,0.166666667
know eh,0.102272727
feel fk,0.125
stress…,0
honest,1.0212
erm,0
say need money buy,0.073863636
got angry meh,-1.437716667
sorry  today mood good,1.439195238
oo okay,0.4526
happy birthday,1.7063
thankiew,0
present,0
cannot present,-0.009615385
next week present,-0.041666667
today present,0
esterday service cause overslep,-0.025
 hard explian,-0.3929
keep praying,0.693990909
unterstood worries,-0.6555
write testimonies perspective,0.166666667
say quite tough study,-0.810669697
struggling,-0.9055
pm like,0.7224
guess update contact list,-0.083333333
nvm lah finish,0.069444444
oic good sch dinner haha,2.032295238
anyway forward sms,0.05
hopefully,1.0538
haha efficient,1.4006
prob,0
thinktheyre inside desktop hardisk crashed,-0.125
need new password,-0.060606061
meet,0
welcome,1.2301
done,-0.028846154
innovative,1.4433
help,0.8663
wan,0
wonderful creation,2.1506
encourage bring along friends,1.5762
simple hard looks,-0.491114286
thank sry inconvenience,-0.708333333
inconvienience,0
great week ahead,1.577180952
im super anxious,0.6933
super inconvience,1.365466667
excited,0.6175
thats cool thats cool,1.1148
nia sing,0
,0
tomorrow holiday,0.7413
handsome heart,2.2877
hahahaha,0
shy,-0.5
playing well,1.313635165
winning,1.20965
goh nervous,-0.7464
make mistakes,-0.764066667
song touched friend heart,1.791866667
appreciated,1.0962
remain pm better,1.2864
beloved,1.0212
weakest,-1.198283333
tq,0
oh better,1.501335714
final winner,1.0468
internship failed already,-1.180290909
thanks lot,0.809371429
great hear quite well,2.207158974
quite well,1.077492308
keep great work,1.530914719
glad hear,1.07385
guy double check,0.002747253
feeling bless,1.040430769
learn sparring forgot every bad thing already,-1.748290476
today car exam pass fail,-1.0221
laugh,1.2398
today feel normal xd,1.222280769
sry yesterday overslep,0
write malaysia youth lack interest sport,0.361752381
lack money,-0.6364
stress ppl beside still keep ask answer,-1.146409091
dun become weary good,1.423945238
gift friendship,1.6506
hate,-1.3938
super hate,0.019866667
hope fail,-0.264533333
oo,0
believe best,1.9988
go,0.0125
sure yet,0.561455556
need help,0.8038
ohoic,0
hope see next week,0.922466667
great inspiration,1.989366667
